section,group,id,text
Title,0,name01,『サポートパートナー』について
Title,1,name01,Tropas auxiliares
mess,0,text01,ᵢ捏昰估谰謰İ쌰㝟䑟鍎枕夰Ȱ㰰戀爀㸀㰀戀爀㸀ᘀ譙蒉✰㱠潨İꬰ뤰뼰�ꐰ먰朰䴰縰夰Ȱ㰰戀爀㸀紀罙渰따�ﰰ젰터ﰰ젰쨰ﰰ鈰尰詏縰地蜰䘰İÿꨀﰰ쀰ﰰꈰꐰ옰뼰咊源㰰礀攀氀氀漀眀㸀ꈀ≣ݽ㩣鉹侮契㰰挀㸀欀漰㰰戀爀㸀�ꐰﰰ欰䈰謰ర�ꐰﰰ⭺൧䬰褰㰰戀爀㸀ఀ따�ﰰ젰터ﰰ젰쨰ﰰര鈰砰玐縰夰Ȱ㰰戀爀㸀㰀戀爀㸀
mess,0,text02,ꈀ≣ၽ齢坒弰ꨰﰰ쀰ﰰꈰꐰ옰䰰舰褰䠰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㰀礀攀氀氀漀眀㸀ꈀ≣鉽瀰詾퐰垏㰰挀㸀Ā따�ﰰ젰터ﰰ젰쨰ﰰ䰰ူ睢㲕戀爀㸀夀謰栰İ垖䐰ꨰﰰ쀰ﰰ朰舰ꈰ≣ၽ齢坒弰訰㰰戀爀㸀☀�枕✰䵙樰☰魢歒樰挰昰估谰縰夰Ȱ0딀�ﰰ젰터ﰰ젰쨰ﰰ渰ᘰ譙澉İ뜰쌰휰꠰ꈰ㰰戀爀㸀ሀ⛿毿䈰謰㰰礀攀氀氀漀眀㸀ꠀ뤰옰㰰挀㸀最İ휰ꐰﰰ栰ర�歩왽㲖戀爀㸀最䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀㰀礀攀氀氀漀眀㸀휀ꐰﰰ䰰笰㉶࢓㱮挀㸀渀㰰礀攀氀氀漀眀㸀ꈀ꼰묰따ﰰ㰰挀㸀萀㰰礀攀氀氀漀眀㸀讚㱗挀㸀漀㰰戀爀㸀딀�ﰰ젰터ﰰ젰쨰ﰰ欰舰缰⡏杵䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀栀舰欰鈰穑銖夰謰鍎梕地昰㰰戀爀㸀䈀樰弰怰儰渰터ﰰ젰쨰ﰰ鈰눰暀縰地蜰䘰Ȱ0턀ﰰ젰쨰ﰰ괰꼰뼰ﰰ萰픰줰터ﰰ젰쨰ﰰ栰㰰戀爀㸀ఀ塔蠰䘰欰괰휰뜰쌰휰渰㰰戀爀㸀ఀ터ﰰ젰쨰ﰰ簰獔侮坑⭺൧䬰褰İ㰰戀爀㸀딀�ﰰ젰터ﰰ젰쨰ﰰ鈰簰獔侮坑İ㰰戀爀㸀
mess,0,text03,攀氀氀漀眀㸀ꈀ꼰묰따ﰰ㰰挀㸀萀㰰礀攀氀氀漀眀㸀讚㱗挀㸀漀㰰戀爀㸀딀�ﰰ젰터ﰰ젰쨰ﰰ欰舰缰⡏杵䴰縰夰Ȱ㰰戀爀㸀㰀戀爀㸀栀舰欰鈰穑銖夰謰鍎梕地昰㰰戀爀㸀䈀樰弰怰儰渰터ﰰ젰쨰ﰰ鈰눰暀縰地蜰䘰Ȱ0턀ﰰ젰쨰ﰰ괰꼰뼰ﰰ萰픰줰터ﰰ젰쨰ﰰ栰㰰戀爀㸀ఀ塔蠰䘰欰괰휰뜰쌰휰渰㰰戀爀㸀ఀ터ﰰ젰쨰ﰰ簰獔侮坑⭺൧䬰褰İ㰰戀爀㸀딀�ﰰ젰터ﰰ젰쨰ﰰ鈰簰獔侮坑İ㰰戀爀㸀
mess,0,text04,ートナーを呼び出し、<br>一緒に戦うこともできます。<br><br>サポートパートナーの行動は、<br>その時の性格により変化します。
mess,1,text01,", so have fun<br>designing the Auxiliary that's right for you!"
mess,1,text02,爀 䄀甀砀椀氀椀愀爀礀 眀椀氀氀 戀攀 愀戀氀攀 琀漀 猀甀挀挀攀猀猀昀甀氀氀礀 氀漀挀愀琀攀 椀琀攀洀猀 昀漀爀 洀漀爀攀 搀椀昀昀椀挀甀氀琀㰀戀爀㸀漀爀搀攀爀猀Ⰰ 愀猀 眀攀氀氀 愀猀 最爀漀眀 椀渀 挀漀洀戀愀琀 攀昀昀攀挀琀椀瘀攀渀攀猀猀⸀
mess,1,text03,¡Tu Auxiliar en un compaйero de aventuras confiable y verdaderamente personalizado!
mess,1,text04,or Friend Avatar.<br><br>An Auxiliary's actions will change depending on their current disposition.
