section,group,id,text
CharaName,0,name01,シエラ
CharaName,0,name02,ハリエット
CharaName,1,name01,Xiera
CharaName,1,name02,hariette
Skit_ci00,0,skit01,破界鎚の召喚準備を行います！<br>城門前の敵を排除してください！
Skit_ci00,0,skit02,私たちは破界塔を守ります。<br>守護輝士は、魔神城の破壊に<br>専念してください。
Skit_ci00,1,skit01,¡Preparándonos para convocar a Buster Rams!<br>¡Elimina a los enemigos frente a<br>las puertas del castillo!
Skit_ci00,1,skit02,"Vigilaremos las Buster Towers. Guardianes,<br>por favor concentren sus esfuerzos en destruir el<br>Castrum Demonica."
Skit00,0,skit01,破界鎚の召喚準備を行います！<br>城門前の敵を排除してください！
Skit00,0,skit02,私たちは破界塔を守ります。<br>守護輝士は、魔神城の破壊に<br>専念してください。
Skit00,1,skit01,¡Preparándonos para convocar a Buster Rams!<br>¡Elimina a los enemigos frente a<br>las puertas del castillo!
Skit00,1,skit02,"Vigilaremos las Buster Towers. Guardianes,<br>por favor concentren sus esfuerzos en destruir el<br>Castrum Demonica."
