section,group,id,text
CharaName,0,name01,ブリギッタ
CharaName,1,name01,¿?
Skit_ci00,0,skit01,惑星ハルコタンで<br>黒の民の根城ともいえる区域が<br>この、黒ノ領域エリアです。
Skit_ci00,0,skit02,この地域は高低差が大きく<br>巨大かつ複雑に入り組んでいますので<br>ご注意ください。
Skit_ci00,0,skit03,多数の黒の民とダーカーも確認。<br>黒の民の暴走の原因を探るべく<br>探索および調査をお願いします。
Skit_ci00,1,skit01,"Esta es la Provincia del Anochecer de Harukotan,<br>fortaleza de los Nightfallers."
Skit_ci00,1,skit02,"El terreno es vasto, traicionero y desigual.<br>Tendrás que navegar por alturas vertiginosas para<br>atravesarlo."
Skit_ci00,1,skit03,También hemos confirmado la presencia de Falspawn.<br>y los Ocaso. Necesitamos que investigues<br>el ímpetu detrás del alboroto de los Nightfallers.
Skit00,0,skit01,惑星ハルコタンで<br>黒の民の根城ともいえる区域が<br>この、黒ノ領域エリアです。
Skit00,0,skit02,この地域は高低差が大きく<br>巨大かつ複雑に入り組んでいますので<br>ご注意ください。
Skit00,0,skit03,多数の黒の民とダーカーも確認。<br>黒の民の暴走の原因を探るべく<br>探索および調査をお願いします。
Skit00,1,skit01,"Esta es la Provincia del Anochecer de Harukotan,<br>fortaleza de los Nightfallers."
Skit00,1,skit02,"El terreno es vasto, traicionero y desigual.<br>Tendrás que navegar por alturas vertiginosas para<br>atravesarlo."
Skit00,1,skit03,También hemos confirmado la presencia de Falspawn.<br>y los Ocaso. Necesitamos que lo hagas<br>investigar el impulso detrás de la<br>El alboroto de los anochecidos.
