section,group,id,text
Skit,0,linewindow,<br>『カメラ操作』について<br>
Skit,0,text00,『カメラ操作』について
Skit,0,text01,チュートリアル<br>『カメラ操作』について説明します。
Skit,0,text02,『カメラ操作』について説明します。
Skit,0,text03,マウスを動かすことで周りを見回すことができます。
Skit,0,text04,<%RStick>で周りを見回すことができます。
Skit,0,text05,カメラを標準の視点にリセットをするには<br><%LockOn>で行うことができます。
Skit,0,text06,カメラを標準の視点にリセットをするには<br><%LockOn>で行うことができます。
Skit,0,text07,通常カメラの設定を変えるには、<br>オプションから設定の変更が可能です。
Skit,0,text08,「標準」→「反転」に変更することで、<br>カメラの設定がリバース設定になります。<br>設定は各系統の武器ごとに変えることが可能です。<br><br>自分にあった環境設定にし
