section,group,id,text
common,0,IncidentName,ヴィスボルトを回避せよ！
common,0,TrialBeginMsg,ヴィスボルトの攻撃を回避し続けろ。<br>$(0)回以上被雷したら失敗。
common,0,TrialAbstract,ヴィスボルトの攻撃を回避し続けろ。
common,0,TrialLightningStrike,$(0)が被雷した。総被雷数$(1)回。
common,0,TrialDarkerKilledInfo,ヴィスボルトの規模抑制まで、あと$(0)体。
common,0,TrialDegradationInfo,ヴィスボルトの規模が抑制された！
common,1,IncidentName,¡Evita los Vizbolts!
common,1,TrialBeginMsg,¡Evita los ataques de Visbolt! Fallarás si<br>golpeas $(0) veces o más.
common,1,TrialAbstract,¡Evita los ataques de Visbolt!
common,1,TrialLightningStrike,Se alcanzo $(0). Visitas totales: $(1)
common,1,TrialDarkerKilledInfo,¡Destruye $(0) más para reducir el alcance de ataque de Vizbolt!
common,1,TrialDegradationInfo,¡Se redujo el alcance de ataque de Vizbolt!
type1,0,NpcComOnBegin,緊急指令！　ヴィスボルトの発生を<br>確認しました。ダーカーの干渉による<br>天候兵器です！　回避してください！
type1,0,NpcComOnSuccess,/face2 ヴィスボルトの停止確認！<br>被害は最小限に抑えられました。<br>よかった……
type1,0,NpcComOnFailure,/face4 ヴィスボルトの発生は止めましたが……<br>被害は甚大です。通常任務に<br>戻りますが、無理はしないように。
type1,0,NpcComOnBeginTrial,ヴィスボルトの発生時間には限りが<br>あります。被害を抑えるためにも<br>なんとか回避しつづけてください！
type1,0,NpcComOnLightningStrike,ヴィスボルト発生の干渉源が<br>付近にいるようです。殲滅できれば<br>発生規模を抑制できます！
type1,0,NpcComOnOneLife,これ以上、ヴィスボルトを<br>受けるのは危険です！<br>残り時間、何とか回避してください！
type1,1,NpcComOnBegin,ns generó<br>por interferencia de Falspawn.<br>¡Haz lo mejor que puedas para evitarlos!
type1,1,NpcComOnSuccess,"/face2 ¡Los Vizbolts se han dispersado! Afortunadamente, los daños<br>se mantuvieron al mínimo."
type1,1,NpcComOnFailure,daño. Vuelve a tus<br>tareas habituales pero... ten cuidado.
type1,1,NpcComOnBeginTrial,"Los Vizbolts no seguirán apareciendo para siempre. Mientras tanto,<br>¡evítalos para minimizar el daño!"
type1,1,NpcComOnLightningStrike,"La fuente de interferencia que genera los Vizbolts<br>está cerca. Si puedes destruirlo, reducirás<br>su alcance."
type1,1,NpcComOnOneLife,¡No puedes darte el lujo de que te golpeen más Vizbolts! <br>¡Haz lo que puedas para evitarlos hasta que se acabe el tiempo!
type9f,0,NpcComOnBegin,緊急連絡です！<br>ヴィスボルトの発生を確認しました！<br>回避してください！
type9f,0,NpcComOnSuccess,ヴィスボルトの停止を確認しました！<br>被害を最小限に抑えられたみたいです。<br>お疲れさまでした！
type9f,0,NpcComOnFailure,ヴィスボルトの停止を確認しました。<br>しかし、被害は甚大のようです……<br>あまり無理しないでくださいね。
type9f,0,NpcComOnBeginTrial,ヴィスボルトの発生時間には<br>限りがあります！<br>頑張って回避してください！
type9f,0,NpcComOnLightningStrike,ヴィスボルト発生の干渉源を観測！<br>撃破し、発生規模を抑制してください！
type9f,0,NpcComOnOneLife,これ以上、ヴィスボルトの<br>ダメージを受けるのは危険です！<br>注意してください！
type9f,1,NpcComOnBegin,¡Emergencia! ¡Presencia de Vizbolt detectada! ¡Evitalos
type9f,1,NpcComOnSuccess,Los Vizbolts se han dispersado. Los daños parecen haberse reducido al mínimo. ¡Bien hecho!
type9f,1,NpcComOnFailure,"Los Vizbolts se han dispersado, pero has recibido<br>daño masivo... Te recomiendo que te lo tomes con calma por un tiempo."
type9f,1,NpcComOnBeginTrial,¡Los Vizbolts no seguirán apareciendo para siempre!<br>¡Haz lo que puedas para evadirlos mientras<br>mientras tanto!
type9f,1,NpcComOnLightningStrike,¡Tengo una imagen de la fuente de interferencia<br>generando Visbolts! ¡Destrúyelo para reducir su rango de ataque <br>!
type9f,1,NpcComOnOneLife,¡No puedes darte el lujo de que te golpee otro Vizbolt!<br>¡Ten cuidado!
