section,group,id,text
common,0,Begin,開始5150
common,0,Success,成功5150
common,0,Failure,失敗5150
common,0,Dead,自分死亡5150
common,0,BuddyDead,相手死亡5150
common,0,Evolution,発展5150
common,1,Begin,Empezar5150
common,1,Success,Exito5150
common,1,Failure,Fracaso5150
common,1,Dead,ustedmurio5150
common,1,BuddyDead,SocioMurio5150
common,1,Evolution,Evolucion5150
5511,0,Begin,/ci3 1 /mn12 ヒツギちゃんとの水着デートを<br>邪魔するなんて、許せない！
5511,0,Success,/ci2 2 /mn17 やったね、ヒツギちゃん！<br>ご協力ありがとうございました！
5511,0,Failure,/mn1 ごめんなさい、ごめんなさい！<br>せっかく手伝ってもらったのに……
5511,0,Dead,/mn24 うう……最後にヒツギちゃんと<br>「つかまえてごらんなさーい」が<br>したかっ……た……
5511,0,BuddyDead,/mn18 ヒツギちゃんっ！？　よ、よくも……<br>絶対、許さないから……！
5511,1,Begin,/ci3 1 /mn12 ¡Estaba en una cita! ¡Con Hitsugi! ¡En TRAJES DE BAÑO! ¡Cómo<br>te atreves a estropear eso!
5511,1,Success,"/ci2 2 /mn17 ¡Lo logramos, Hitsugi! ¡Muchas gracias por<br>ayudarnos!"
5511,1,Failure,"/mn1 ¡Lo siento, lo siento! Y te esforzaste tanto<br>en ayudarnos a nosotros también..."
5511,1,Dead,"/mn24 Ugh...quería jugar ""atrápame si puedes"" con<br>Hitsugi una... última... vez..."
5511,1,BuddyDead,/mn18 ¿¡Hatsugi!? C-Cómo se atreven... ¡¡Tendré mi<br>venganza por esto!!
