section,group,id,text
Required,0,Title,連破訓練・3-Ⅵ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>ボスエネミーの討伐を勧められる。<br><br><yellow>※推奨セクション：<br>　マクアド下層（Rank.2以上）<c>
Required,1,Title,Entrenamiento implacable 3-VI
Required,1,Summary,<br> alguna experiencia.<br><br><yellow>Sector recomendado: Maqead Nivel inferior<br>(Rango 2 o superior) <c>
SubObjectives,0,text0101,フォートス・レーザー（Lv.30以上）を倒す
SubObjectives,0,text0102,スナイダル・ハンマー（Lv.30以上）を倒す
SubObjectives,0,text0103,レヌス・リテム（Lv.30以上）を倒す
SubObjectives,1,text0101,Derrota a Fortos Lasers (nivel 30 o superior)
SubObjectives,1,text0102,Derrota a Dustyl Hammers (nivel 30 o superior)
SubObjectives,1,text0103,Derrota a Renus Retems (nivel 30 o superior)
