section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
ls_010045,0,un_015125_0010,みんなー、アンコールありがとー！<br>みんなの熱い想い、受け取ったよ！<br>それじゃもう一曲、行っちゃおう！
ls_010045,0,un_015125_0020,明るく、激しく、鮮烈にっ！<br>ノリにノって、盛り上がろうね！<br>それじゃ、いっくよーっ！
ls_010045,0,un_015125_0030,さいっこうの盛り上がりを、ありがとーっ！
ls_010045,0,un_015125_0035,あたしの身体も心も、大満足だよっ！<br>やっぱり歌って、最高だねっ！
ls_010045,0,un_015125_0040,みんなはいつだってひとりじゃない！<br>もしも忘れそうになったら、あたしの歌を思い出してね！<br>みんなのための、この歌をっ！
ls_010045,0,un_015125_0050,それじゃ、またねーっ！
ls_010045,0,ls_010045_0010,ここにいる“I”その意味を<br>問いかける“Why?”そんな瞬間があるよね
ls_010045,0,ls_010045_0020,誰も 時には不意に
ls_010045,0,ls_010045_0030,胸にある“Pain”その傷み<br>笑っても“Fake”作り微笑いじゃ癒えない
ls_010045,0,ls_010045_0040,本当の気持ちには嘘はつけない
ls_010045,0,ls_010045_0050,信じてたい道に影落とす闇<br>刻んだ昨日　見据えた明日　もし隠しても
ls_010045,0,ls_010045_0060,"You are Shouting　So, Never Alone　きみの叫びは<br>ちゃんと届いているよ　どんな遙かな崖からも"
ls_010045,0,ls_010045_0070,You are Fighting…Forever Lasting　命焦がして<br>今、明るく激しい鮮烈な光になれ　闘って!
ls_010045,0,ls_010045_0080,生きてゆく“Life”その理由の<br>答えには“Love”いつも用意していたいね
ls_010045,0,ls_010045_0090,たとえ孤独な夜も
ls_010045,0,ls_010045_0100,振り上げた“Fist”拳さえ<br>開いたら“Fit”誰かささえて包む
ls_010045,0,ls_010045_0110,あったかい絆になること　忘れない
ls_010045,0,ls_010045_0120,頬伝わる涙たちは　真摯に<br>歩んでいる証　少しも恥じなくていい
ls_010045,0,ls_010045_0130,"We are Sharing　So, Never Alone　きみの祈りは<br>黙ってても感じるよ　天を突く頂めざそう"
ls_010045,0,ls_010045_0140,We are Shining…Forever Lasting　瞳凝らして
ls_010045,0,ls_010045_0150,ただ眩く正しい誠実な光を追え　手に手取って
