section,group,id,text
Required,0,Title,ブルーダー救出
Required,0,Summary,レゾルの森で消息を絶った<br>ブルーダーを探すため、<br><%me>たちは、<br>ネクス・エアリオが待ち受ける<br>敵の巣窟へと足を踏み入れる。
Required,1,Title,Topadora de rescate
Required,1,Summary,"En busca de Dozer, que ha desaparecido en el bosque de Resol,<br><%me> y la tripulación se topan con una guarida enemiga: el hogar de Nex Aelio."
SubObjectives,0,Objective311,レゾルの森の入口でアイナと話す
SubObjectives,0,Objective321,ブルーダーを探す
SubObjectives,0,Objective331,ネクス・エアリオを倒す
SubObjectives,1,Objective311,Habla con Aina en la entrada del Bosque Resol.
SubObjectives,1,Objective321,encontrar topadora
SubObjectives,1,Objective331,Derrota a Nex Aelio
