section,group,id,text
msq_014170,0,msq_014170_0011,うわ！　敵!?
msq_014170,0,msq_014170_0021,エネミーの反応！<br>大丈夫ですか!?
msq_014170,0,msq_014170_0031,かなり強そうなのが……。
msq_014170,0,msq_014170_0040,すぐに、そちらに向かいます！<br>もちこたえてください。
msq_014170,0,name010,アイナ
msq_014170,0,name020,マノン
msq_014170,0,name030,カヌイ
msq_014170,1,msq_014170_0011,¡Vaya! ¿¡Un enemigo!?
msq_014170,1,msq_014170_0021,¡Una lectura enemiga! <br>¿¡Estás bien!?
msq_014170,1,msq_014170_0031,Éste parece bastante duro...
msq_014170,1,msq_014170_0040,¡Estaré allí lo antes posible! <br>Espera hasta entonces.
msq_014170,1,name010,Aina
msq_014170,1,name020,Manón
msq_014170,1,name030,Kanui
