section,group,id,text
BubbleMessage,0,HELLO,こちらは<br>メディカルセンターです
BubbleMessage,0,HELLO_FAV4,こちらは<br>メディカルセンターです
BubbleMessage,0,HELLO_FAV3,こちらは<br>メディカルセンターです
BubbleMessage,0,HELLO_FAV2,こちらは<br>メディカルセンターです
BubbleMessage,0,HELLO_FAV1,こちらは<br>メディカルセンターです
BubbleMessage,0,HELLO_FAV0,こちらは<br>メディカルセンターです
BubbleMessage,0,Q0,こちらは<br>メディカルセンターです
BubbleMessage,0,GOODBYE,気をつけてくださいね
BubbleMessage,0,GOODBYE_FAV4,気をつけてくださいね
BubbleMessage,0,GOODBYE_FAV3,気をつけてくださいね
BubbleMessage,0,GOODBYE_FAV2,気をつけてくださいね
BubbleMessage,0,GOODBYE_FAV1,気をつけてくださいね
BubbleMessage,0,GOODBYE_FAV0,気をつけてくださいね
BubbleMessage,1,HELLO,Bienvenido al Centro Medico.
BubbleMessage,1,HELLO_FAV4,Bienvenido al Centro Medico.
BubbleMessage,1,HELLO_FAV3,Bienvenido al Centro Medico.
BubbleMessage,1,HELLO_FAV2,Bienvenido al Centro Medico.
BubbleMessage,1,HELLO_FAV1,Bienvenido al Centro Medico.
BubbleMessage,1,HELLO_FAV0,Bienvenido al Centro Medico.
BubbleMessage,1,Q0,Bienvenido al Centro Medico.
BubbleMessage,1,GOODBYE,Cuidate ahi fuera.
BubbleMessage,1,GOODBYE_FAV4,Cuidate ahi fuera.
BubbleMessage,1,GOODBYE_FAV3,Cuidate ahi fuera.
BubbleMessage,1,GOODBYE_FAV2,Cuidate ahi fuera.
BubbleMessage,1,GOODBYE_FAV1,Cuidate ahi fuera.
BubbleMessage,1,GOODBYE_FAV0,Cuidate ahi fuera.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Hablar
Choices,1,C_ORDER_ST,Escuchar
