section,group,id,text
BubbleMessage,0,HELLO,どのような用件ですか！
BubbleMessage,0,HELLO_FAV4,どのような用件ですか！
BubbleMessage,0,HELLO_FAV3,どのような用件ですか！
BubbleMessage,0,HELLO_FAV2,どのような用件ですか！
BubbleMessage,0,HELLO_FAV1,どのような用件ですか！
BubbleMessage,0,HELLO_FAV0,どのような用件ですか！
BubbleMessage,0,Q0,どのような用件ですか！
BubbleMessage,0,GOODBYE,じゃあね！
BubbleMessage,0,GOODBYE_FAV4,じゃあね！
BubbleMessage,0,GOODBYE_FAV3,じゃあね！
BubbleMessage,0,GOODBYE_FAV2,じゃあね！
BubbleMessage,0,GOODBYE_FAV1,じゃあね！
BubbleMessage,0,GOODBYE_FAV0,じゃあね！
BubbleMessage,1,HELLO,¿Que te trae por aqui?
BubbleMessage,1,HELLO_FAV4,¿Que te trae por aqui?
BubbleMessage,1,HELLO_FAV3,¿Que te trae por aqui?
BubbleMessage,1,HELLO_FAV2,¿Que te trae por aqui?
BubbleMessage,1,HELLO_FAV1,¿Que te trae por aqui?
BubbleMessage,1,HELLO_FAV0,¿Que te trae por aqui?
BubbleMessage,1,Q0,¿Que te trae por aqui?
BubbleMessage,1,GOODBYE,¡Hasta luego!
BubbleMessage,1,GOODBYE_FAV4,¡Hasta luego!
BubbleMessage,1,GOODBYE_FAV3,¡Hasta luego!
BubbleMessage,1,GOODBYE_FAV2,¡Hasta luego!
BubbleMessage,1,GOODBYE_FAV1,¡Hasta luego!
BubbleMessage,1,GOODBYE_FAV0,¡Hasta luego!
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
