section,group,id,text
BubbleMessage,0,HELLO,あら
BubbleMessage,0,HELLO_FAV4,あら
BubbleMessage,0,HELLO_FAV3,あら
BubbleMessage,0,HELLO_FAV2,あら
BubbleMessage,0,HELLO_FAV1,あら
BubbleMessage,0,HELLO_FAV0,あら
BubbleMessage,0,Q0,あら
BubbleMessage,0,BYE_BEFORE,開催まで<br>もう暫くお待ちいただけますか。
BubbleMessage,0,BYE_NOW,御身のご活躍を期待しております。
BubbleMessage,0,BYE_AFTER,次回も御身のご活躍を<br>期待しております。
BubbleMessage,0,BYE_EXCHANGE,スターによる賞品の購入を忘れないよう<br>ご留意くださいね。
BubbleMessage,0,BYE_OUTOFEVENT,次回の開催まで<br>お待ちいただけますか。
BubbleMessage,0,GIVEWAY_NOW,スターによる賞品の購入、承ります。
BubbleMessage,0,GIVEWAY_AFTER,スターによる賞品の購入、承ります。
BubbleMessage,0,GIVEWAY_EXCHANGE,アークスシップ対抗戦用の<br>「イベント限定賞品」を追加しました。<br>スターによる購入、承ります。
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
