section,group,id,text
BubbleMessage,0,Q0,掘り出し物、見てってください。
BubbleMessage,0,HELLO,掘り出し物、見てってください。
BubbleMessage,0,HELLO_FAV4,掘り出し物、見てってください。
BubbleMessage,0,HELLO_FAV3,掘り出し物、見てってください。
BubbleMessage,0,HELLO_FAV2,掘り出し物、見てってください。
BubbleMessage,0,HELLO_FAV1,掘り出し物、見てってください。
BubbleMessage,0,HELLO_FAV0,掘り出し物、見てってください。
BubbleMessage,0,GOODBYE,また見に来てねー
BubbleMessage,0,GOODBYE_FAV4,また見に来てねー
BubbleMessage,0,GOODBYE_FAV3,また見に来てねー
BubbleMessage,0,GOODBYE_FAV2,また見に来てねー
BubbleMessage,0,GOODBYE_FAV1,また見に来てねー
BubbleMessage,0,GOODBYE_FAV0,また見に来てねー
BubbleMessage,1,Q0,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO_FAV4,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO_FAV3,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO_FAV2,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO_FAV1,Consulte nuestras grandes ofertas
BubbleMessage,1,HELLO_FAV0,Consulte nuestras grandes ofertas
BubbleMessage,1,GOODBYE,Vuelve otra vez alguna vez
BubbleMessage,1,GOODBYE_FAV4,Vuelve otra vez alguna vez
BubbleMessage,1,GOODBYE_FAV3,Vuelve otra vez alguna vez
BubbleMessage,1,GOODBYE_FAV2,Vuelve otra vez alguna vez
BubbleMessage,1,GOODBYE_FAV1,Vuelve otra vez alguna vez
BubbleMessage,1,GOODBYE_FAV0,Vuelve otra vez alguna vez
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Hablar
Choices,1,C_ORDER_ST,Escuchar
