section,group,id,text
Event1,0,11_voice_NPC_5026_101,スーパーハードの敵さんは<br>とおっても強いから<br>殺しがいがありますよお。
Event1,0,text02,リサと一緒に風の向くまま気の向くまま<br>遺跡で暴れたら、ますます腕が上がって<br>長銃の達人になっちゃいますねえ。
Event1,0,text03,というわけで、使用武器は<br>アサルトライフル系だけに<br>制限しちゃいますねえ。
Event1,0,text04,撃って嬲って消して殺して<br>いろいろたくさんいーっぱいやっても<br>蹂躙し尽くせない場所ですしねえ。
Event1,0,text05,さあさあ、さあさあさあ。<br>遺跡が二人を待ってますよお。<br>楽しく撃って楽しくやりましょうね
Event1,1,11_voice_NPC_5026_101,"Los malos a los que te enfrentas en las misiones súper difíciles son<br>muy grande, muy malo y muy, muy divertido de<br>matar."
Event1,1,text02,"Visita las Ruinas conmigo y deja que la naturaleza tome su<br>Por supuesto, guiando nuestra matanza de un lado a otro,<br>¡Y dominarás los rifles de asalto en poco tiempo!"
Event1,1,text03,Y con eso quiero decir que no te atrevas a usar<br>¡algo más! Solo usaremos rifles de asalto.<br>hoy.
Event1,1,text04,"Y qué mejor lugar para usarlos que<br>En algún lugar podemos disparar, atormentar, aniquilar.<br>y destruir sin que nadie se queje, ¿eh?"
Event1,1,text05,"Vamos entonces, date prisa ahora. las ruinas<br>¡espéranos! Oh, ya puedo decir que esto es solo<br>va a ser muy divertido."
