section,group,id,text
pr_043010,0,pr_043010_0010,……くそっ！<br>くそっ、くそっくそっ！
pr_043010,0,pr_043010_0020,なんなんだ、なんなんだよあれは！<br>聞いてないぞ、あんなのがいるなんて……！
pr_043010,0,pr_043010_0030,この私が……完全に出し抜かれた……！<br>この、亜贄萩斗が……！<br>選ばれた人間の、この私が……ッ！！
pr_043010,0,pr_043010_0040,このままではマザーへの面目が立たない……<br>なにより、私の沽券に関わる……！
pr_043010,0,pr_043010_0050,……だが、まだだ！<br>私は、まだ負けたわけではない！
pr_043010,0,pr_043010_0060,私の軍隊は、不滅の軍！<br>なあそうだろう、エメラルド・タブレット！
pr_043010,0,pr_043010_0070,あれで足りないのであれば<br>もっと強いものを、もっと凄いものを<br>生み出すまでだ！　そうだろう！
pr_043010,0,pr_043010_0080,……さあ、吸え、エーテルを吸え！<br>エメラルド・タブレット！
pr_043010,0,pr_043010_0090,お前は、私の生み出した最高傑作だ！<br>お前の力は、この程度ではない！
pr_043010,0,pr_043010_0100,我が袂より羽ばたき<br>その力を示せ、エメラルド・タブレット！<br>お前の具現に……限界はないッ！
pr_043010,0,pr_043010_0110,ふふふ、ははははっ！<br>ははははははっ！
pr_043010,1,pr_043010_0010,¡Maldita sea!
pr_043010,1,pr_043010_0020,¿Que diablos era eso? Nadie ha mencionado algo asi!
pr_043010,1,pr_043010_0030,"Fui… completamente fuera de combate. <br>Fue completamente superado. <br>Yo, Hagito Anie. Yo, quien fue elegido."
pr_043010,1,pr_043010_0040,No puedo enfrentar a Madre como estoy. No puedo. <br>Mi dignidad esta en juego…!
pr_043010,1,pr_043010_0050,...Pero no he terminado aqui. No he sido derrotado todavia!
pr_043010,1,pr_043010_0060,"Mis fuerzas son ilimitadas. ¿No es eso cierto, Emerald Tablet?"
pr_043010,1,pr_043010_0070,"Y si NO son lo suficientes, entonces creare herramientas mas poderosas, mas letales. ¡Si! ¡Si!"
pr_043010,1,pr_043010_0080,"Ahora, absorbe todo el eter que puedas. <br>Disfruta, mi Emerald Tablet."
pr_043010,1,pr_043010_0090,Tu eres la creacion suprema que he creado. <br>No hay limites a tu poder.
pr_043010,1,pr_043010_0100,"Vuela libre. Muestra tu omnipotente <br>poder, Emerald Tablet. No hay limites <br>a tu materializacion!"
pr_043010,1,pr_043010_0110,Ha ha ha ha! Mwahahahaha!
