section,group,id,text
MainText,0,name010,アイナ
MainText,0,name020,ルーシア
MainText,0,text010,ねえ、ルーシア！
MainText,0,text020,え？　ああ、私のこと？<br>……名前で呼ばれるのって、何か、変な感じ。
MainText,0,text030,じゃあ、早く慣れるようにいっぱい呼ぶね！　ルーシア！
MainText,0,text040,ちょっと、何でそんなに楽しそうなのよ。<br>……ったく、急いでるんでしょ？　さっさと行くわよ！
MainText,1,name010,Aina
MainText,1,name020,lucía
MainText,1,text010,¿Hola? ¿Lucía?
MainText,1,text020,"¿Mmm? Oh, eh, ¿yo? Supongo que se siente un poco extraño que te llamen por un nombre."
MainText,1,text030,"Entonces, ¡supongo que tendremos que decirlo mucho! ¡Lucía!"
MainText,1,text040,"¡Vamos, vamos! Estás siendo tonto.<br>¿No tenemos prisa de todos modos? ¡Necesitamos movernos!"
