section,group,id,text
innocent,0,CHANGE_END,了解しました。<br>このクラスになります。
innocent,1,CHANGE_END,Comprendido. Me cambiare a esta clase.
fresh,0,CHANGE_END,よし、これからは<br>このクラスで頑張るよ！
fresh,1,CHANGE_END,"Genial! A partir de ahora, dare mi todo<br>como esta clase!"
faintheart,0,CHANGE_END,わ、わかりました。<br>これからはこのクラスで、頑張ってみます。
faintheart,1,CHANGE_END,"O-Okay. A partir de ahora, me dedicare<br>a esta clase."
cool,0,CHANGE_END,いいだろう。<br>これからはこのクラスとして活動する。
cool,1,CHANGE_END,Esta bien. Trabajare como esta clase ahora.
naughty,0,CHANGE_END,オッケー！<br>オレ、これからはこのクラスになる！
naughty,1,CHANGE_END,¡Esta bien! ¡Me cambiare a esta clase!
quiet,0,CHANGE_END,かしこまりました。<br>それでは、これからはこのクラスで。
quiet,1,CHANGE_END,"Comprendido. De ahora en adelante, sere esta clase."
noisy,0,CHANGE_END,ほいほい！<br>それじゃこれからはこのクラスで！
noisy,1,CHANGE_END,"¡Lo entendi bien! A partir de ahora, sere esta<br>clase!"
sharp,0,CHANGE_END,……わかった。<br>わたしはこれから、このクラスだ。
sharp,1,CHANGE_END,Entiendo. Estoy empezando esta clase ahora.
boyish,0,CHANGE_END,うん、わかった。<br>それじゃボク、これからは<br>このクラスでがんばってみるね。
boyish,1,CHANGE_END,"Estoy listo. A partir de ahora, hare mi mejor esfuerzo como<br>esta clase."
