section,group,id,text
ssq_014503,0,name_7718,ウォーラス
ssq_014503,0,ssq_014503_0010,おお、素晴らしい！<br>今までに見たことのない景色だ。
ssq_014503,0,ssq_014503_0020,俺も何度か、ルーフ・マクアドの戦いには参加したが、<br>そこまで行くことはできなかった。
ssq_014503,0,ssq_014503_0030,……こうして眺めていると、感慨深いものがあるな。
ssq_014503,0,ssq_014503_0040,長い戦いだった……。
ssq_014503,0,ssq_014503_0050,ありがとう。<br>実はあと、もう一か所、頼みたいんだ。
ssq_014503,0,ssq_014503_0060,“トリニテス”へ向かってくれないか？<br>つきあわせて悪いが、よろしく
ssq_014503,1,name_7718,Wallas
ssq_014503,1,ssq_014503_0010,"¡Oh, maravilloso! ¡Nunca había visto esta vista antes!"
ssq_014503,1,ssq_014503_0020,"Participé en varias batallas en Rwh Maqead,<br>pero nunca llegué a ese lugar."
ssq_014503,1,ssq_014503_0030,Verlo así me trae muchas emociones.
ssq_014503,1,ssq_014503_0040,Fue una batalla tan larga...
ssq_014503,1,ssq_014503_0050,"Gracias. En realidad, hay sólo un lugar más al que me gustaría pedirte que vayas."
ssq_014503,1,ssq_014503_0060,"¿Te importaría ir a Trinitas? Odio preguntar, pero lo agradecería."
