section,group,id,text
ssq_019030_003,0,name_7211,シャンディー
ssq_019030_003,0,ssq_019030_003_0001,あれ？　今、いくつまで見つけてますか？
ssq_019030_003,0,ssq_019030_003_0002,１、２、３……あっ、たぶん今のが最後のひとつです。<br>こちらでも座標がプロットできました。
ssq_019030_003,0,ssq_019030_003_0003,ありがとうございます。これで調査が進められます。<br>少ないかもですが、謝礼を送っておきますね。
ssq_019030_003,0,ssq_019030_003_0004,これからも、いろいろな調査や研究に<br>協力してもらえると嬉しいです。よろしくお願いします！
ssq_019030_003,1,name_7211,Xiandy
ssq_019030_003,1,ssq_019030_003_0001,¿Qué? ¿Cuántos has encontrado ahora?
ssq_019030_003,1,ssq_019030_003_0002,"1, 2, 3... ah, está bien. Probablemente ese sea el último. Pude trazar las coordenadas<br>desde aquí."
ssq_019030_003,1,ssq_019030_003_0003,"Muchas gracias. Esto realmente ayuda a nuestra investigación. No es mucho, pero déjame que<br>te envíe un pequeño obsequio."
ssq_019030_003,1,ssq_019030_003_0004,Esperamos contar con su continuo apoyo a nuestros esfuerzos de investigación.<br>¡Gracias de antemano!
