section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
st_010290,0,st_010290_0010,<%me>さん。<br>大丈夫ですか？
st_010290,0,st_010290_0020,また、変な音ですか？<br>いえ、やはりこちらでは検出されていません。
st_010290,0,st_010290_0030,あ、ああっ！　<%me>さん！<br>あれ、見てください！
st_010290,0,st_010290_0040,なんでしょうか、これ。<br>人工物……みたいですね。
st_010290,0,st_010290_0050,アークスの残留物……？<br>……にしては、不自然な気がします。
st_010290,0,st_010290_0070,パラメータ的には、武器でしょうか？<br>それにしては、形がおかしい……壊れてるのかな？
st_010290,0,st_010290_0080,……！
st_010290,0,st_010290_0090,<%me>さん！　大丈夫ですか！<br>あの人は……？
st_010290,0,st_010290_0100,それを離せ……
st_010290,0,st_010290_0110,危ないところだったな<br><%me>！
st_010290,0,st_010290_1120,気になってな。<br>追いかけてきてみたんだが、こりゃどうなってんだ？
st_010290,0,st_010290_0130,……その人、アークスなの？
st_010290,0,st_010290_0140,そういうの調べるのはお前の役割だろ。
st_010290,0,st_010290_0150,あ……ええっと、全件検索、完了。
st_010290,0,st_010290_0155,該当するデータ……なし。<br>なし、ってどういうこと！
st_010290,0,st_010290_0160,そう慌てんなって、エコー。<br>どちらにせよ、まっとうに降りてきた奴じゃないってことだ。
st_010290,0,st_010290_0170,おい、お前。<br>どこのどいつだ、所属を言え。
st_010290,0,st_010290_0180,…………
st_010290,0,st_010290_0190,ちぇっ、無視かよ！<br>スカした仮面してやがるし、なんだかいけ好かんヤツだな、お前！
st_010290,0,st_010290_0200,邪魔をするなら、殺す……
st_010290,0,st_010290_0210,……はー、退く気はなさそうだな。<br>なら、力尽くでもご退場願うぜ！
st_010290,0,st_010290_0220,A.P.238/3/2/11:00
st_010290,1,st_010290_0010,¿Qué pasa? ¿Estás bien?
st_010290,1,st_010290_0020,"¿Otro ruido extraño? Lo siento, todavía no lo detecto."
st_010290,1,st_010290_0030,¡Oh! ¡Mira eso!
st_010290,1,st_010290_0040,¿Qué es esto exactamente? Parece...artificial.
st_010290,1,st_010290_0050,"¿Es algo que dejó un agente de ARKS?<br>No, no se siente natural."
st_010290,1,st_010290_0070,"Según sus parámetros, parece ser un arma.<br>Y, sin embargo, tiene una forma extraña. ¿Está roto?"
st_010290,1,st_010290_0080,Has visto cómo la oscuridad la devoró hasta que<br>se resignó al destino.
st_010290,1,st_010290_0090,¿¡Estás bien!? ¿Quién es ese?
st_010290,1,st_010290_0100,Deja eso.
st_010290,1,st_010290_0110,¡Eso estuvo cerca! Ey...
st_010290,1,st_010290_1120,"Tenía curiosidad y comencé a seguirte. Entonces, ¿qué está pasando aquí?"
st_010290,1,st_010290_0130,¿Son de ARKS?
st_010290,1,st_010290_0140,Es tu trabajo buscar cosas así.
st_010290,1,st_010290_0150,Ah. Um... Acabo de realizar una búsqueda completa. Veamos<br>qué tenemos... ¿¡Qué quieres decir con que no hay hits!?
st_010290,1,st_010290_0155,Veamos qué tenemos...<br>¿¡Qué quieres decir con que no hay hits!?
st_010290,1,st_010290_0160,"No te pongas tan nervioso, Echo. De cualquier manera, eso significa que esta<br>persona no está registrada correctamente."
st_010290,1,st_010290_0170,"Eh, tú. Indique su nombre y afiliación."
st_010290,1,st_010290_0180,
st_010290,1,st_010290_0190,"¿Me estás ignorando con esa estúpida máscara? Piérdete, asqueroso."
st_010290,1,st_010290_0200,Ponte en mi camino y te mataré.
st_010290,1,st_010290_0210,"*suspiro* Ah, bueno, está bien. ¡Supongo que estamos haciendo<br>esto de la manera más difícil, entonces!"
st_010290,1,st_010290_0220,A.P.238/3/2/11:00
