section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,それでは、ファントムにおけるカタナ<br><red>「ファントムカタナ」<c>について<br>訓練しましょう！
Event1,0,text02,カタナのファントムシフトは<br><red>「移動しながら斬撃を放つ」<c>という<br>特殊な攻撃です。
Event1,0,text03,それでは<br><red>カタナのファントムシフトで<br>エネミーを攻撃<c>してみましょう！
Event1,0,text101,課題４：<yellow>カタナの武器アクションをエネミーに当てる
Event1,1,name01,¿?
Event1,1,text01,¡Es hora de aprender sobre la <red>Phantom Katana<c>!
Event1,1,text02,El Phantom Shift de la Katana es un ataque único.<br><red>que <red>corta mientras se mueve.<c>
Event1,1,text03,Intenta atacar al enemigo con la Katana.<br><red>Cambio fantasma<c>!
Event1,1,text101,Entrenamiento 4: <yellow>Golpea al enemigo con la acción del arma de Katana
Tut_win,0,train_title,課題４：<yellow>カタナの武器アクションをエネミーに当てる
Tut_win,0,tut_title,カタナの武器アクションについて
Tut_win,0,text100,・<%WeaponAction>でカタナの武器アクションを<br>　エネミーに当てる
Tut_win,0,text100_3b,・<%MainPaletteC>でカタナの武器アクションを<br>　エネミーに当てる
Tut_win,0,tut_win_title,『ファントムカタナの武器アクション』について
Tut_win,0,tut_win_text100,「ファントムカタナ」は<br>武器アクションで、回避をしながら<br>斬撃を放つ、攻防一体の戦闘を行えます。<br><br><c ffff00>※チャージした武器アクションからは<br>　シフトＰＡは発動しません。<
Tut_win,1,train_title,Entrenamiento 4: <yellow>Golpea al enemigo con la acción del arma de Katana
Tut_win,1,tut_title,La acción del arma de la Katana
Tut_win,1,text100,-Usa <%WeaponAction> para golpear al enemigo con el<br>Acción del arma de Katana
Tut_win,1,text100_3b,-Usa <%MainPaletteC> para golpear al enemigo.<br>con la acción del arma de la Katana
Tut_win,1,tut_win_title,La acción del arma de la Phantom Katana
Tut_win,1,tut_win_text100,Usa la acción del arma de la Phantom Katana<br>para desatar un ataque cortante y<br>realizar simultáneamente una esquiva.<br><br><c ffff00>Nota: No puedes desatar un Shift Photon Art<br>de una acción de arma cargada.<c>
