section,group,id,text
Tut_win,0,train_title,課題１：<yellow>数秒間ステルステックチャージ状態になる
Tut_win,0,tut_title,ステルステックチャージについて
Tut_win,0,text100,・<%SubPalette1>を押し続けテクニックをチャージ
Tut_win,0,text101,・<%SubPalette>を押し続けテクニックをチャージ
Tut_win,0,text102,サブパレットのアイコンを<br>タッチし続けチャージ
Tut_win,0,tut_win_title,『ステルステックチャージ
Tut_win,0,tut_win_text100,***
Tut_win,1,train_title,Entrenamiento 1:<yellow>Mantén presionada la carga Stealth Tech durante unos segundos
Tut_win,1,tut_title,Carga de tecnologia sigilosa
Tut_win,1,text100,-Cargar una tecnica manteniendo presionado <%SubPalette1>
Tut_win,1,text101,-Cargar una tecnica manteniendo presionado <%SubPalette>
Tut_win,1,text102,Mantenga presionado el ícono de la subpaleta para cargar
Tut_win,1,tut_win_title,Carga de tecnologia sigilosa
Tut_win,1,tut_win_text100,¡Cuidado con el falso enemigo!
