section,group,id,text
common,0,Begin,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
common,0,Success,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
common,0,Failure,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
common,0,Dead,/ci5 3 うぅ……こんなはずでは……。
common,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
common,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
common,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
common,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
common,0,Begin_7002001,/ci1 2 なんで、こんなにエネミーが……。
common,0,Success_7002001,/ci2 1 ふう……、なんとかなったわね。
common,0,Failure_7002001,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
common,0,Dead_7002001,/ci4 3 ……こ、こんなところで……。
common,0,BuddyDead_7002001,/ci4 3 ……こ、こんなところで……。
common,0,Begin_7002001_v3,/ci1 2 なんで、こんなにエネミーが……。
common,0,Success_7002001_v3,/ci2 1 ふう……、なんとかなったわね。
common,0,Failure_7002001_v3,/ci4 3 くっ……少し攻撃を受けすぎたわ……。<br>ここは、後退せてもらうわね。
common,0,Dead_7002001_v3,/ci4 3 ……こ、こんなところで……。
common,0,BuddyDead_7002001_v3,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,Begin,/ci1 5 ああ……。<br>悪いが、少し手を貸してもらえるか？
trial_boss_ahl,0,Success,/ci1 1 お前が協力してくれたおかげだ。<br>……感謝する。
trial_boss_ahl,0,Failure,/ci4 3 倒しきれなかったか……。<br>仕方ない。今回は戦闘終了だ。
trial_boss_ahl,0,Dead,/ci5 3 うぅ……こんなはずでは……。
trial_boss_ahl,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
trial_boss_ahl,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
trial_boss_ahl,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
trial_boss_ahl,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
trial_boss_ahl,0,Begin_7711001,/ci1 2 お前か……。<br>頼む、一緒に戦ってくれ。
trial_boss_ahl,0,Success_7711001,/ci1 5 よし。<br>みんな無事だな？
trial_boss_ahl,0,Failure_7711001,/ci4 5 逃げたか……。<br>仕方ない。俺たちも出直すぞ。
trial_boss_ahl,0,Dead_7711001,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,BuddyDead_7711001,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,Begin_7712001_v3,/ci1 2 いいところに来てくれた。<br>協力を頼めるか？
trial_boss_ahl,0,Success_7712001_v3,/ci1 5 戦闘終了か。<br>……協力、感謝する。
trial_boss_ahl,0,Failure_7712001_v3,/ci4 5 ……任務失敗だ。<br>もう、深追いする必要はない。
trial_boss_ahl,0,Dead_7712001_v3,/ci4 3 ……こ、こんなところで……。
trial_boss_ahl,0,BuddyDead_7712001_v3,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,Begin,/ci1 5 ああ……。<br>悪いが、少し手を貸してもらえるか？
trial_enemy_ahl,0,Success,/ci1 1 お前が協力してくれたおかげだ。<br>……感謝する。
trial_enemy_ahl,0,Failure,/ci4 3 倒しきれなかったか……。<br>仕方ない。今回は戦闘終了だ。
trial_enemy_ahl,0,Dead,/ci5 3 うぅ……こんなはずでは……。
trial_enemy_ahl,0,Begin_v2,/ci1 1 あら、いいところに。<br>少し手伝ってもらえないかしら。
trial_enemy_ahl,0,Success_v2,/ci2 1 ……ありがとう。助かったわ。<br>これからもよろしく。
trial_enemy_ahl,0,Failure_v2,/ci4 3 これ以上は危険よ！<br>ごめんなさい、先に撤退するわね。
trial_enemy_ahl,0,Dead_v2,/ci5 3 うぅ……こんなはずでは……。
trial_enemy_ahl,0,Begin_7711001,/ci1 2 お前か……。<br>頼む、一緒に戦ってくれ。
trial_enemy_ahl,0,Success_7711001,/ci1 5 よし。<br>みんな無事だな？
trial_enemy_ahl,0,Failure_7711001,/ci4 5 逃げたか……。<br>仕方ない。俺たちも出直すぞ。
trial_enemy_ahl,0,Dead_7711001,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,BuddyDead_7711001,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,Begin_7712001,/ci1 2 いいところに来てくれた。<br>協力を頼めるか？
trial_enemy_ahl,0,Success_7712001,/ci1 5 戦闘終了か。<br>……協力、感謝する。
trial_enemy_ahl,0,Failure_7712001,/ci4 5 ……任務失敗だ。<br>もう、深追いする必要はない。
trial_enemy_ahl,0,Dead_7712001_v3,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,0,BuddyDead_7712001_v3,/ci4 3 ……こ、こんなところで……。
trial_enemy_ahl,1,Begin,"/ci1 5 Oye...<br>Lo siento, pero ¿te importaría echarme una mano?"
trial_enemy_ahl,1,Success,"/ci1 1 Lo logramos, con tu ayuda.<br>Te lo agradezco."
trial_enemy_ahl,1,Failure,"/ci4 3 No pudimos derrotarlos a todos...<br>No importa, esta pelea terminó."
trial_enemy_ahl,1,Begin_7711001,"/ci1 2 Tú...<br>Por favor, únete a mí en la batalla."
trial_enemy_ahl,1,Success_7711001,/ci1 5 Muy bien.<br>¿Están todos bien?
trial_enemy_ahl,1,Failure_7711001,"/ci4 5 Se escaparon...<br>No importa, lo intentaremos nuevamente la próxima vez."
trial_enemy_ahl,1,Begin_7712001,/ci1 2 Momento perfecto.<br>¿Puedes ayudarnos?
trial_enemy_ahl,1,Success_7712001,/ci1 5 La batalla ha terminado.<br>Agradezco tu ayuda.
trial_enemy_ahl,1,Failure_7712001,/ci4 5 ...Fracasamos.<br>No hay necesidad de seguir con ellos.
