section,group,id,text
common,0,TrialName,アセンブリーポイント掃討
common,0,TrialBeginMsg,エネミーの集結地点を確認！　ただちに殲滅せよ！
common,0,TrialAbstract,エネミーを倒す
common,1,TrialName,Liquidación del punto de reunión
common,1,TrialBeginMsg,¡Punto de reunión enemigo descubierto! ¡Erradicarlos de una vez!
common,1,TrialAbstract,¡Suprime a los enemigos objetivo!
type102,0,NpcComOnForetaste,そのあたりにエネミーが集結しつつあるみたいです！<br>数が増えるまえに、倒しちゃってください。
type102,0,NpcComOnSuccess,エネミーの殲滅を確認しました！<br>ご協力に感謝します。
type102,0,NpcComOnFailure,＊＊＊
type105,0,NpcComOnForetaste,/voice11_voice_navi004_trial_0001_012 そのあたりにエネミーが集結しつつあるみたいです！<br>数が増えるまえに、倒しちゃってください。
type105,0,NpcComOnSuccess,/voice11_voice_navi004_trial_0001_069 エネミーの殲滅を確認しました！<br>ご協力に感謝します。
type105,0,NpcComOnFailure,/voice11_voice_navi004_trial_0001_073 エネミーが撤退しました。<br>……別の目標に向かってください。
type105,1,NpcComOnForetaste,/voice11_voice_navi004_trial_0001_012 ¡Parece que los enemigos se están congregando por ahí! ¡Elimínalos antes de que aumenten en número!
type105,1,NpcComOnSuccess,/voice11_voice_navi004_trial_0001_069 ¡Confirmada la erradicación del enemigo! Agradecemos su apoyo.
type105,1,NpcComOnFailure,"/voice11_voice_navi004_trial_0001_073 El enemigo se ha retirado...<br>Por favor, dirígete a otro objetivo."
