section,group,id,text
common,0,TrialName,コールドフォトン励起
common,0,TrialBeginMsg,特異環境下でエネミーを殲滅せよ！
common,0,TrialAbstract,コールドフォトンを利用してエネミーを倒す
common,0,Wave1Msg,エネミー第一波接近！
common,0,Wave2Msg,エネミー第二波接近！
common,0,Wave3Msg,追加WAVE発生！
common,1,TrialName,Excitación de fotones fríos
common,1,TrialBeginMsg,¡Erradica a los enemigos en entornos anómalos!
common,1,TrialAbstract,Derrota enemigos usando fotones fríos.
common,1,Wave1Msg,¡Se acerca la primera oleada enemiga!
common,1,Wave2Msg,¡Se acerca la segunda oleada enemiga!
common,1,Wave3Msg,¡Se acerca otra ola!
type105,0,NpcComOnBegin,/voice11_voice_navi004_trial_0001_019 多数のエネミー反応を確認しました！<br>大気中のフォトンが励起状態にあるみたいなので、そちらも警戒を！
type105,0,NpcComOnBegin2,中空に発生したのは“コールドフォトン”です。<br>不安定な状態で、大きな力をぶつけたら爆発しますよ。
type105,0,NpcComOnWave2,/voice11_voice_navi004_trial_0001_027 さらにエネミーの反応を確認しました！<br>コールドフォトンの励起も促進されているみたいです。
type105,0,NpcComOnExWave,/voice11_voice_navi004_trial_0001_041 エネミーの殲滅をかくに……あら？<br>まだ来るみたいですね。倒しちゃってください。
type105,0,NpcComOnSuccess,/voice11_voice_navi004_trial_0001_069 今度こそ、エネミーの殲滅を確認しました。<br>ありがとうございました！
type105,0,NpcComOnSuccessNoBonusWave,/voice11_voice_navi004_trial_0001_069 エネミーの殲滅を確認しました。<br>ありがとうございました！
type105,0,NpcComOnFailure,/voice11_voice_navi004_trial_0001_073 あらら……エネミーが撤退。<br>フォトンの反応も正常値に戻ったみた
type105,1,NpcComOnBegin,"/voice11_voice_navi004_trial_0001_019 ¡Numerosas lecturas enemigas confirmadas!<br>Los fotones atmosféricos parecen estar en un alto estado de agitación, ¡así que esté en guardia!"
type105,1,NpcComOnBegin2,"Lo que apareció en el aire es un fotón frío. Es inestable, por lo que golpearlo<br>hacer que explote."
type105,1,NpcComOnWave2,/voice11_voice_navi004_trial_0001_027 ¡Lecturas enemigas adicionales confirmadas! Los fotones fríos<br>¡Parece estar cada vez más emocionado!
type105,1,NpcComOnExWave,"/voice11_voice_navi004_trial_0001_041 ¿Con qué erradicación enemiga?<br>Todavía hay más. Sácalos, por favor."
type105,1,NpcComOnSuccess,/voice11_voice_navi004_trial_0001_069 Ahora tenemos confirmada la erradicación del enemigo. muchas gracias<br>¡mucho!
type105,1,NpcComOnSuccessNoBonusWave,/voice11_voice_navi004_trial_0001_069 Se confirma la erradicación del enemigo. ¡Muchas gracias!
type105,1,NpcComOnFailure,"/voice11_voice_navi004_trial_0001_073 Bueno, bueno... los enemigos se están retirando. y los fotones<br>se han estabilizado"
