section,group,id,text
TutorialText,0,Title,アドオンスキル
TutorialText,0,text0001,“アドオンスキル”は、<br>キャラクターを強化する特殊なスキルです。<br><br>クラスカウンターで<br>“N-クラスエクスキューブ”と“N-メセタ”を消費して<br>アドオンスキルを生成し、セットできます。
TutorialText,0,text0002,アドオンスキルはクラスごとに分かれており、<br>生成するには、“N-Huエクスキューブ”など<br>クラスごとの、N-クラスエクスキューブが必要です。<br><br>アドオンスキルには、<br>クラスごとに固定で1つ生成される“メイン効果”と<br>ランダムで2つ生成される“サブ効果”があり、<br>“効果レベル”に応じてスキルの効果量が変化します。
TutorialText,0,text0003,クラスカウンターでセットした<br>各クラス用のアドオンスキルは、どのクラスで<br>プレイした場合でも、すべて同時に効果を発揮します。<br><br>できるだけ多くのクラスにアドオンスキルをセットし、<br>キャラクターを強化しましょう。
TutorialText,0,text0004,アドオンスキルの生成を繰り返すと、<br>生成時に消費するN-メセタの量を増加させ、代わりに<br>効果レベルの下限値を引き上げられるようになります。
TutorialText,0,text0005,各クラスで初めてアドオンスキルを生成するたびに、<br>獲得経験値・獲得メセタ・レアドロップ倍率が上昇する<br><yellow>“アドオンスキルブースト”<c>が発動します。<br><br>このブーストは、一度発動すると<yellow>永続的に<c>効果があり、<br>クラスごとに重複して適用されます。
TutorialText,1,Title,Habilidades complementarias
TutorialText,1,text0001,Class EX-Cubes y N-Meseta para generar y equipar habilidades adicionales desde el Class Counter.
TutorialText,1,text0002,definido por el “Nivel de efecto”.
TutorialText,1,text0003,s juega como.<br><br>Equipa habilidades adicionales para tantas clases como puedas para fortalecer tu personaje.
TutorialText,1,text0004,"Generar repetidamente habilidades adicionales costará más N-Meseta, pero aumentará el nivel de efecto mínimo."
TutorialText,1,text0005,戀漀漀猀琀猀 昀爀漀洀 攀愀挀栀 挀氀愀
