section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
un_011070,0,un_011070_0010,あ、あの……こんにちは。<br>よく、お会いしますね。
un_011070,0,un_011070_0020,あの、貴方はどうしてアークスに……？<br>ああいえっ、文句とかではなくて<br>ただ単純に興味があるだけで……
un_011070,0,un_011070_0030,……ぼくの知り合い、アークスに<br>なれなかったんです。<br>その……適性がないそうで。
un_011070,0,un_011070_0040,いっつもアークスになるって<br>言っていたんですけど……<br>……才能がない、って。
un_011070,0,un_011070_0050,ぼくがアークスになっちゃって<br>彼女がなれない、って……<br>理不尽ですよ。
un_011070,0,un_011070_0060,可能なら、ぼくの適性をあげたい……<br>けど、そんなことできないし……
un_011070,0,un_011070_0070,……なんで、ぼくなんでしょう。<br>ぼくじゃなくて、彼女のほうが<br>よっぽどアークスに向いているのに……
un_011070,0,un_011070_0080,A.P.238/3/1
un_011070,1,un_011070_0010,"Um... Hola. Nos vemos con frecuencia, ¿verdad?"
un_011070,1,un_011070_0020,"Uh, ¿por que usted se unio a ARKS? Oh, no, no es eso lo que quiero decir. Simplemente estoy curioso."
un_011070,1,un_011070_0030,"Alguien que conozco...no pudo unirse a ARKS. Ella <br>no tenia aptitud para ello, al parecer."
un_011070,1,un_011070_0040,"Siempre decia que se uniria a ARKS algun dia, <br>pero...no tiene talento para ello, supongo."
un_011070,1,un_011070_0050,"Que yo me converti en un operativo de ARKS y ella no es...ilogico, realmente."
un_011070,1,un_011070_0060,"Si fuera posible, daria mi aptitud a ella, <br>pero eso no es el modo en que funciona."
un_011070,1,un_011070_0070,¿Por que yo? Ella esta mucho mas capacitada para ser un operativo de ARKS que yo.
un_011070,1,un_011070_0080,A.P. 238/3/1
